Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 88
HEX 81 : 41DE96FC	4171D41E	3B654F7B	
DEC 81 : 27.823723	15.114286	0.003499	
HEX 82 : 41FB9544	4183FA47	40983401	
DEC 82 : 31.447884	16.497206	4.756348	
HEX 83 : 41DCEBD8	412E22E4	408BD107	
DEC 83 : 27.615158	10.883518	4.369266	
HEX 84 : 41E3DA11	4158B481	40E4503C	
DEC 84 : 28.481478	13.544068	7.134794	
HEX 85 : 41F560B3	4181E273	40DB6113	
DEC 85 : 30.672216	16.235571	6.855600	
HEX 86 : 4200D3B7	411502B0	409B5C03	
DEC 86 : 32.206753	9.313156	4.854982	
HEX 87 : 41FCB188	4147B588	40A28CB5	
DEC 87 : 31.586685	12.481819	5.079676	
HEX 88 : 41F09E8D	41668ED0	40C979E1	
DEC 88 : 30.077417	14.409866	6.296128	
89 : 0.000000	0.000000	0.000000	
90 : 0.000000	0.000000	0.000000	
91 : 0.000000	0.000000	0.000000	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
