Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 83 : 3F9B306A	41FCBBCD	419A3DAA	
DEC 83 : 1.212415	31.591700	19.280109	
HEX 84 : 40043B19	4206D58E	41B00236	
DEC 84 : 2.066107	33.708549	22.001080	
HEX 85 : 3FAF6B66	41D2C232	41CBB1DC	
DEC 85 : 1.370465	26.344822	25.461845	
HEX 86 : 40C013C2	41E71E92	41C10891	
DEC 86 : 6.002412	28.889927	24.129183	
HEX 87 : 3FD08206	41D9A6E8	41B0F227	
DEC 87 : 1.628968	27.206497	22.118238	
HEX 88 : 3BCB07D1	41D9F2E4	418E442F	
DEC 88 : 0.006196	27.243599	17.783293	
HEX 89 : 404142C4	41E63A32	41B655C5	
DEC 89 : 3.019700	28.778416	22.791880	
HEX 90 : 3BCAEEA6	41F4970E	41906A0B	
DEC 90 : 0.006193	30.573757	18.051779	
HEX 91 : 3FC2172B	41EC6316	419BCBC9	
DEC 91 : 1.516332	29.548382	19.474504	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
