Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 93
DEC 84 : 6.643737	5.519868	33.030876	
HEX 85 : 40E873DA	4103872C	41D50C29	
DEC 85 : 7.264142	8.220501	26.630938	
HEX 86 : 40A465C3	40BF1DF7	41E6D8FE	
DEC 86 : 5.137422	5.972408	28.855953	
HEX 87 : 409A3B1B	4091EF13	41D07377	
DEC 87 : 4.819715	4.560434	26.056379	
HEX 88 : 3BBFA8F8	3A5A1A93	41D013EE	
DEC 88 : 0.005849	0.000832	26.009731	
HEX 89 : 40E49047	410099E4	4200E568	
DEC 89 : 7.142612	8.037571	32.224030	
HEX 90 : 40B81757	3FC4F1CC	4204F2FF	
DEC 90 : 5.752849	1.538629	33.237301	
HEX 91 : 4092D65A	4040C437	4207B3E9	
DEC 91 : 4.588666	3.011976	33.925694	
HEX 92 : 3B60B913	3FC06C1A	41F483D8	
DEC 92 : 0.003429	1.503299	30.564377	
HEX 93 : 40D9B41E	40C5791C	41D753EA	
DEC 93 : 6.803237	6.171034	26.915974	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
