Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 91
HEX 81 : 40880BE3	41CE38D5	410104D5	
DEC 81 : 4.251451	25.777750	8.063680	
HEX 82 : 40B56F93	41D061D3	409C4CA3	
DEC 82 : 5.669870	26.047766	4.884355	
HEX 83 : 40450768	41E40D7A	3FB1A6CE	
DEC 83 : 3.078577	28.506580	1.387903	
HEX 84 : 3EE136A4	4203EEBD	3FF7578A	
DEC 84 : 0.439870	32.983143	1.932359	
HEX 85 : 3FD605C4	41FDD1D2	40A64EC0	
DEC 85 : 1.672051	31.727451	5.197113	
HEX 86 : 3BCAD57C	41F39A0D	40BFD752	
DEC 86 : 0.006190	30.450220	5.995034	
HEX 87 : 3FB34A0A	41DBE223	40A5165D	
DEC 87 : 1.400697	27.485418	5.158980	
HEX 88 : 40564D98	42027203	3FAC9446	
DEC 88 : 3.348486	32.611340	1.348275	
HEX 89 : 40E5080E	41FDC822	40CD33E3	
DEC 89 : 7.157233	31.722721	6.412584	
HEX 90 : 3BCAE643	41D1B383	40BA33EC	
DEC 90 : 0.006192	26.212652	5.818838	
HEX 91 : 4067B580	41F4BC92	3FEB013B	
DEC 91 : 3.620453	30.592075	1.835975	
92 : 0.000000	0.000000	0.000000	
93 : 0.000000	0.000000	0.000000	
94 : 0.000000	0.000000	0.000000	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
