Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 94
HEX 85 : 40B4BB10	40583C60	4155C4E6	
DEC 85 : 5.647835	3.378685	13.360571	
HEX 86 : 400FC383	3AB30B5B	41843E99	
DEC 86 : 2.246308	0.001366	16.530565	
HEX 87 : 3F2EE664	40D2F091	4135A32D	
DEC 87 : 0.683203	6.591866	11.352338	
HEX 88 : 40DEE1A4	403BA4BA	4110137B	
DEC 88 : 6.965044	2.931929	9.004756	
HEX 89 : 3E87DCBE	3ABF7F06	41820AC3	
DEC 89 : 0.265356	0.001461	16.255255	
HEX 90 : 3BCA9260	40C29C20	41691366	
DEC 90 : 0.006182	6.081558	14.567236	
HEX 91 : 40CCFCEB	409DD400	413A2069	
DEC 91 : 6.405874	4.932129	11.632913	
HEX 92 : 406EB45F	3AC069E8	4135C50D	
DEC 92 : 3.729759	0.001468	11.360608	
HEX 93 : 408E5D1C	407439EF	413D219E	
DEC 93 : 4.448866	3.816036	11.820707	
HEX 94 : 401E5098	3AB502AC	414EABDB	
DEC 94 : 2.473669	0.001381	12.916957	
95 : 0.000000	0.000000	0.000000	
96 : 0.000000	0.000000	0.000000	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
