Memory Address: PosZ	PosY	PosX
Num Particles In the Cell : 96
HEX 79 : 40800857	3CCF9C20	41B4DE23	
DEC 79 : 4.001018	0.025343	22.608465	
HEX 80 : 40C8C3FC	3FF6C26A	4190910F	
DEC 80 : 6.273924	1.927808	18.070829	
HEX 81 : 40C24722	40C6EB10	41C4D50D	
DEC 81 : 6.071183	6.216194	24.604029	
HEX 82 : 4106673B	405B9308	41BE64FA	
DEC 82 : 8.400203	3.430849	23.799305	
HEX 83 : 3EF89B52	40A8B7DC	4194A585	
DEC 83 : 0.485560	5.272444	18.580820	
HEX 84 : 4009CDC8	3ABAE89F	41BAFFA5	
DEC 84 : 2.153185	0.001426	23.374826	
HEX 85 : 40432696	40701590	41BE09F0	
DEC 85 : 3.049230	3.751316	23.754852	
HEX 86 : 3FEA8701	40AF92FD	41ADB122	
DEC 86 : 1.832245	5.486693	21.711491	
HEX 87 : 401E07B3	41053340	41C0B53E	
DEC 87 : 2.469220	8.325012	24.088497	
HEX 88 : 40B5F885	40613366	418815E6	
DEC 88 : 5.686587	3.518762	17.010693	
HEX 89 : 3FBE8073	40DD1AD4	41A1FC3A	
DEC 89 : 1.488295	6.909525	20.248158	
HEX 90 : 4104F34E	4024AEDA	41AFF56D	
DEC 90 : 8.309401	2.573172	21.994837	
HEX 91 : 40D5848E	40F46579	41BAA76B	
DEC 91 : 6.672431	7.637387	23.331747	
HEX 92 : 40A78809	40A7962B	41905D8D	
DEC 92 : 5.235356	5.237081	18.045679	
HEX 93 : 40F7190F	40DDA1C2	41AC9051	
DEC 93 : 7.721809	6.925996	21.570467	
HEX 94 : 3BCAE643	41041A3D	419AA7E9	
DEC 94 : 0.006192	8.256406	19.331987	
HEX 95 : 402E1C82	4038CF31	41A77D5B	
DEC 95 : 2.720490	2.887646	20.936209	
HEX 96 : 3FB8C062	40DC15D5	41C8183B	
DEC 96 : 1.443371	6.877665	25.011831	
97 : 0.000000	0.000000	0.000000	
98 : 0.000000	0.000000	0.000000	
99 : 0.000000	0.000000	0.000000	
